table,table ID,T,P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
table,part,T,514,rosy sky puff lemon burlywood,Manufacturer#4,Brand#42,LARGE POLISHED BRASS,10,JUMBO BOX,1414.51,slyly daring Tiresias
table,part,T,515,indian dim lime blue peach,Manufacturer#5,Brand#53,MEDIUM PLATED TIN,37,WRAP BOX,1415.51,enticingly even 
table,part,T,516,purple red khaki beige smoke,Manufacturer#1,Brand#12,SMALL BRUSHED NICKEL,28,LG CAN,1416.51,carefully
table,part,T,517,tomato firebrick violet mint snow,Manufacturer#3,Brand#34,SMALL BURNISHED COPPER,30,WRAP CAN,1417.51,fluffily bold ideas a
table,part,T,518,yellow tomato lavender rose puff,Manufacturer#4,Brand#43,PROMO BRUSHED BRASS,33,JUMBO DRUM,1418.51,evenly br
table,part,T,519,blush medium cyan black snow,Manufacturer#3,Brand#32,LARGE BRUSHED BRASS,24,WRAP PACK,1419.51,blithely
table,part,T,520,blanched grey frosted pale almond,Manufacturer#1,Brand#12,PROMO BURNISHED BRASS,49,MED CASE,1420.52,theodolites cajol
table,part,T,521,grey cream almond lime deep,Manufacturer#3,Brand#35,PROMO BRUSHED STEEL,21,JUMBO DRUM,1421.52,furiou
table,part,T,522,frosted cornflower turquoise saddle chartreuse,Manufacturer#3,Brand#32,STANDARD BRUSHED NICKEL,15,MED CASE,1422.52,blithely pe
table,part,T,523,burlywood ghost pale honeydew dodger,Manufacturer#4,Brand#42,ECONOMY BRUSHED NICKEL,7,JUMBO JAR,1423.52,quickly special rea
table,part,T,524,deep seashell dodger drab antique,Manufacturer#1,Brand#14,SMALL ANODIZED STEEL,17,JUMBO PACK,1424.52,slyly final d
table,part,T,525,metallic midnight chocolate khaki royal,Manufacturer#3,Brand#33,STANDARD BURNISHED STEEL,47,JUMBO CAN,1425.52,carefully 
table,part,T,526,orchid frosted wheat powder blush,Manufacturer#5,Brand#53,PROMO ANODIZED BRASS,47,JUMBO PKG,1426.52,furiously regular
table,part,T,527,pink drab purple navajo cornflower,Manufacturer#3,Brand#32,MEDIUM POLISHED NICKEL,39,LG JAR,1427.52,fluffily pending
table,part,T,528,cornsilk lace magenta rose slate,Manufacturer#2,Brand#24,STANDARD PLATED STEEL,40,LG CAN,1428.52,quickly pend
table,part,T,529,lavender aquamarine peru slate navajo,Manufacturer#3,Brand#31,MEDIUM PLATED NICKEL,33,SM PKG,1429.52,ironic idea
table,part,T,530,mint lemon chartreuse lime royal,Manufacturer#4,Brand#42,PROMO PLATED STEEL,45,JUMBO CASE,1430.53,dependencies wake. c
table,part,T,531,purple hot floral puff almond,Manufacturer#2,Brand#22,ECONOMY POLISHED NICKEL,16,WRAP DRUM,1431.53,frays wake. ironi
table,part,T,532,midnight lace chiffon maroon powder,Manufacturer#1,Brand#14,LARGE BRUSHED NICKEL,45,WRAP BAG,1432.53,carefully spe
table,part,T,533,hot ivory grey azure light,Manufacturer#2,Brand#24,PROMO PLATED STEEL,38,JUMBO PACK,1433.53,carefully fina
table,part,T,534,bisque pink plum burnished firebrick,Manufacturer#5,Brand#53,STANDARD PLATED NICKEL,27,LG CASE,1434.53,even instructions 
table,part,T,535,lime rosy deep pale rose,Manufacturer#5,Brand#53,STANDARD PLATED TIN,17,SM CASE,1435.53,fluffy foxes boos
table,part,T,536,orchid violet tan bisque indian,Manufacturer#2,Brand#23,STANDARD PLATED STEEL,36,JUMBO BAG,1436.53,blith
table,part,T,537,azure olive aquamarine coral yellow,Manufacturer#1,Brand#15,ECONOMY BRUSHED TIN,26,WRAP BOX,1437.53,carefu
table,part,T,538,deep bisque smoke metallic thistle,Manufacturer#1,Brand#15,ECONOMY POLISHED STEEL,24,SM PACK,1438.53,carefully iro
table,part,T,539,plum metallic salmon dim lime,Manufacturer#3,Brand#34,MEDIUM BURNISHED TIN,4,SM DRUM,1439.53,even requ
table,part,T,540,violet white steel midnight black,Manufacturer#1,Brand#14,MEDIUM PLATED NICKEL,7,LG PACK,1440.54,pending ideas wa
table,part,T,541,seashell lawn hot forest lemon,Manufacturer#3,Brand#35,STANDARD ANODIZED NICKEL,34,LG JAR,1441.54,blithely
table,part,T,542,light brown cornsilk indian antique,Manufacturer#1,Brand#11,SMALL BRUSHED STEEL,40,WRAP CASE,1442.54,final theodolites doze
table,part,T,543,dodger chartreuse pale medium mint,Manufacturer#5,Brand#54,ECONOMY POLISHED BRASS,4,JUMBO BOX,1443.54,furiously regular 
table,part,T,544,brown dodger hot frosted cream,Manufacturer#2,Brand#22,STANDARD BURNISHED NICKEL,42,SM CASE,1444.54,special decoys sha
table,part,T,545,purple peach indian smoke papaya,Manufacturer#3,Brand#31,LARGE PLATED NICKEL,14,MED JAR,1445.54,carefully even ideas 
table,part,T,546,metallic green indian steel blanched,Manufacturer#2,Brand#25,ECONOMY ANODIZED STEEL,8,LG CASE,1446.54,slyly regular plate
table,part,T,547,cornflower turquoise navy coral beige,Manufacturer#4,Brand#43,MEDIUM BURNISHED COPPER,48,WRAP DRUM,1447.54,accounts are 
table,part,T,548,blue peru lavender cream metallic,Manufacturer#3,Brand#33,ECONOMY ANODIZED TIN,28,SM CAN,1448.54,furiously unu
table,part,T,549,lavender goldenrod hot salmon puff,Manufacturer#5,Brand#53,SMALL BRUSHED BRASS,36,SM CAN,1449.54,regular foxes are
table,part,T,550,violet blush maroon wheat cream,Manufacturer#4,Brand#44,STANDARD BRUSHED STEEL,27,SM JAR,1450.55,carefully bold requ
table,part,T,551,wheat blush firebrick bisque medium,Manufacturer#5,Brand#54,LARGE BURNISHED TIN,10,MED JAR,1451.55,blithely regul
table,part,T,552,turquoise hot mint drab burlywood,Manufacturer#4,Brand#44,LARGE POLISHED BRASS,1,JUMBO CAN,1452.55,blithely regular ac
table,part,T,553,gainsboro deep lavender khaki blanched,Manufacturer#2,Brand#23,SMALL POLISHED NICKEL,1,WRAP DRUM,1453.55,slyly 
table,part,T,554,ghost lavender navajo medium light,Manufacturer#5,Brand#53,STANDARD BRUSHED STEEL,31,LG JAR,1454.55,even as
table,part,T,555,thistle brown blue honeydew slate,Manufacturer#4,Brand#42,PROMO BURNISHED TIN,49,SM JAR,1455.55,furiously 
table,part,T,556,powder frosted antique seashell cream,Manufacturer#2,Brand#23,SMALL BRUSHED BRASS,49,WRAP JAR,1456.55,special accounts
table,part,T,557,maroon ghost chocolate antique brown,Manufacturer#3,Brand#35,LARGE BURNISHED TIN,8,JUMBO PKG,1457.55,regular accounts boos
table,part,T,558,blanched wheat papaya linen gainsboro,Manufacturer#3,Brand#31,STANDARD PLATED BRASS,25,MED BOX,1458.55,accounts wa
table,part,T,559,wheat aquamarine moccasin firebrick dark,Manufacturer#3,Brand#31,LARGE PLATED STEEL,27,SM PKG,1459.55,ironic 
table,part,T,560,orchid indian peru green saddle,Manufacturer#2,Brand#25,STANDARD BRUSHED COPPER,37,WRAP PKG,1460.56,boldly busy pac
table,part,T,561,blue burlywood green chiffon olive,Manufacturer#1,Brand#14,SMALL POLISHED STEEL,44,JUMBO CASE,1461.56,carefully express 
table,part,T,562,lime blue thistle drab cornsilk,Manufacturer#3,Brand#32,SMALL BURNISHED STEEL,16,MED PACK,1462.56,furiously f
table,part,T,563,spring goldenrod forest light magenta,Manufacturer#3,Brand#31,MEDIUM POLISHED STEEL,39,MED DRUM,1463.56,fluffil
table,part,T,564,saddle beige pale cream chiffon,Manufacturer#2,Brand#22,LARGE ANODIZED BRASS,41,SM PKG,1464.56,accounts cajol
table,part,T,565,dodger metallic sienna linen purple,Manufacturer#1,Brand#14,PROMO BRUSHED STEEL,9,JUMBO JAR,1465.56,carefully final deposi
table,part,T,566,seashell cornflower white smoke aquamarine,Manufacturer#2,Brand#25,ECONOMY BURNISHED TIN,19,LG PKG,1466.56,requests alongside of 
table,part,T,567,midnight lace white turquoise medium,Manufacturer#5,Brand#55,STANDARD BRUSHED STEEL,19,JUMBO BAG,1467.56,regular deposits 
table,part,T,568,magenta tan orchid frosted beige,Manufacturer#3,Brand#31,PROMO POLISHED STEEL,6,SM BOX,1468.56,express ideas los
table,part,T,569,cornflower aquamarine burlywood goldenrod lemon,Manufacturer#4,Brand#41,SMALL BRUSHED TIN,46,MED BOX,1469.56,final packages integr
table,part,T,570,lavender slate turquoise deep lawn,Manufacturer#5,Brand#51,ECONOMY BRUSHED COPPER,44,SM PKG,1470.57,slyly special dep
table,part,T,571,chartreuse orchid dim beige forest,Manufacturer#2,Brand#22,LARGE PLATED TIN,1,WRAP CAN,1471.57,careful
table,part,T,572,navy plum light bisque burnished,Manufacturer#4,Brand#43,LARGE BURNISHED COPPER,3,SM BOX,1472.57,carefully final r
table,part,T,573,dark metallic floral chocolate mint,Manufacturer#2,Brand#23,SMALL PLATED TIN,42,WRAP PACK,1473.57,quietly spe
table,part,T,574,khaki snow beige aquamarine linen,Manufacturer#2,Brand#23,SMALL PLATED BRASS,36,SM PACK,1474.57,fluffily even a
table,part,T,575,gainsboro seashell peach khaki firebrick,Manufacturer#1,Brand#14,SMALL BRUSHED NICKEL,10,MED CAN,1475.57,express packages use
table,part,T,576,cornsilk lace forest chocolate drab,Manufacturer#3,Brand#32,PROMO BURNISHED TIN,27,SM CAN,1476.57,caref
table,part,T,577,black goldenrod cyan slate magenta,Manufacturer#2,Brand#22,LARGE BRUSHED STEEL,34,JUMBO BAG,1477.57,even, special asympt
table,part,T,578,black dim lace almond bisque,Manufacturer#4,Brand#41,MEDIUM ANODIZED NICKEL,9,WRAP DRUM,1478.57,carefully regula
table,part,T,579,goldenrod floral azure peach antique,Manufacturer#3,Brand#31,STANDARD POLISHED STEEL,8,WRAP JAR,1479.57,express dep
table,part,T,580,navajo chiffon lawn grey puff,Manufacturer#1,Brand#12,LARGE BURNISHED COPPER,30,JUMBO PACK,1480.58,quickly fina
table,part,T,581,khaki gainsboro lawn grey red,Manufacturer#2,Brand#25,ECONOMY ANODIZED BRASS,44,SM BAG,1481.58,even 
table,part,T,582,frosted olive antique red coral,Manufacturer#4,Brand#45,LARGE BRUSHED TIN,23,MED JAR,1482.58,blithely even p
table,part,T,583,rose brown orange dodger cream,Manufacturer#3,Brand#33,LARGE BURNISHED NICKEL,35,JUMBO CAN,1483.58,blithely regu
table,part,T,584,moccasin beige dark purple brown,Manufacturer#1,Brand#12,SMALL POLISHED COPPER,42,MED JAR,1484.58,furiously ironic pack
table,part,T,585,peru hot blue saddle white,Manufacturer#5,Brand#53,SMALL PLATED COPPER,7,JUMBO PKG,1485.58,ironic, reg
table,part,T,586,sandy rosy gainsboro dark brown,Manufacturer#1,Brand#11,PROMO ANODIZED BRASS,11,LG DRUM,1486.58,bold, pending reque
table,part,T,587,blanched magenta almond blue saddle,Manufacturer#4,Brand#44,SMALL POLISHED STEEL,35,MED PKG,1487.58,blithely even
table,part,T,588,forest powder indian mint blush,Manufacturer#5,Brand#55,SMALL PLATED COPPER,45,WRAP BAG,1488.58,carefully 
table,part,T,589,red olive saddle blanched cornsilk,Manufacturer#1,Brand#13,LARGE POLISHED BRASS,3,SM PKG,1489.58,ironi
table,part,T,590,lemon indian green royal aquamarine,Manufacturer#4,Brand#42,LARGE POLISHED COPPER,38,WRAP PKG,1490.59,carefully 
table,part,T,591,peach burlywood saddle midnight linen,Manufacturer#1,Brand#14,ECONOMY PLATED NICKEL,40,SM PKG,1491.59,regular foxes solve sl
table,part,T,592,dodger midnight chocolate wheat ivory,Manufacturer#2,Brand#23,LARGE POLISHED STEEL,7,MED DRUM,1492.59,slow packages wake
table,part,T,593,pink chiffon sandy spring cream,Manufacturer#2,Brand#25,PROMO POLISHED STEEL,20,JUMBO CASE,1493.59,slyly regular foxes 
table,part,T,594,moccasin beige burlywood floral smoke,Manufacturer#3,Brand#31,PROMO BRUSHED BRASS,28,SM JAR,1494.59,careful
table,part,T,595,seashell beige forest coral lace,Manufacturer#5,Brand#51,PROMO BRUSHED BRASS,23,JUMBO JAR,1495.59,blithely spe
table,part,T,596,slate light gainsboro dark seashell,Manufacturer#5,Brand#52,STANDARD POLISHED TIN,35,JUMBO JAR,1496.59,carefully
table,part,T,597,cyan dark green lime orchid,Manufacturer#4,Brand#44,STANDARD ANODIZED NICKEL,36,SM DRUM,1497.59,carefull
table,part,T,598,brown khaki dodger violet blush,Manufacturer#2,Brand#24,MEDIUM POLISHED BRASS,9,MED JAR,1498.59,blithely unusual dep
table,part,T,599,yellow burlywood blush lime beige,Manufacturer#5,Brand#51,MEDIUM BRUSHED NICKEL,30,JUMBO PACK,1499.59,even excuses 
table,part,T,600,blue beige metallic seashell blanched,Manufacturer#4,Brand#42,STANDARD POLISHED NICKEL,4,SM JAR,1500.60,ironically regular
table,part,T,601,blue navy dim lime tan,Manufacturer#1,Brand#13,STANDARD POLISHED BRASS,13,SM PKG,1501.60,blithely even packages
table,part,T,602,maroon smoke aquamarine cornflower lime,Manufacturer#1,Brand#12,PROMO BRUSHED COPPER,8,SM BAG,1502.60,blithely fin
table,part,T,603,snow blue frosted olive midnight,Manufacturer#1,Brand#12,PROMO ANODIZED COPPER,41,WRAP PKG,1503.60,fluffil
table,part,T,604,burnished lemon seashell pale deep,Manufacturer#4,Brand#41,MEDIUM PLATED STEEL,19,MED PACK,1504.60,furiou
table,part,T,605,grey red lime saddle forest,Manufacturer#1,Brand#11,LARGE POLISHED STEEL,30,LG JAR,1505.60,carefully expr
table,part,T,606,navajo lace deep aquamarine lawn,Manufacturer#3,Brand#32,STANDARD PLATED STEEL,36,LG DRUM,1506.60,ideas are quickly expr
table,part,T,607,dark cornsilk thistle sandy linen,Manufacturer#5,Brand#54,MEDIUM POLISHED TIN,13,MED JAR,1507.60,finally pending ide
table,part,T,608,metallic bisque blanched thistle royal,Manufacturer#2,Brand#25,PROMO PLATED BRASS,35,JUMBO PKG,1508.60,even request
table,part,T,609,dim lemon olive midnight chiffon,Manufacturer#2,Brand#21,ECONOMY BRUSHED TIN,49,JUMBO DRUM,1509.60,hockey players afte
table,part,T,610,plum steel seashell white lavender,Manufacturer#1,Brand#11,ECONOMY BURNISHED TIN,38,JUMBO BOX,1510.61,furiously regula
table,part,T,611,blanched burlywood maroon coral rosy,Manufacturer#4,Brand#42,MEDIUM PLATED TIN,45,SM DRUM,1511.61,slowly pending
table,part,T,612,midnight deep misty magenta honeydew,Manufacturer#4,Brand#42,PROMO PLATED STEEL,19,LG BOX,1512.61,ironic, expr
table,part,T,613,forest chocolate mint burlywood spring,Manufacturer#3,Brand#34,LARGE BURNISHED COPPER,22,LG DRUM,1513.61,special accounts no
table,part,T,614,indian navy pink powder aquamarine,Manufacturer#2,Brand#23,STANDARD BURNISHED NICKEL,6,WRAP PKG,1514.61,daringly unus
table,part,T,615,rosy burlywood blush drab grey,Manufacturer#4,Brand#41,PROMO ANODIZED COPPER,4,WRAP PKG,1515.61,even, pendin
table,part,T,616,drab plum lace cornsilk khaki,Manufacturer#2,Brand#25,STANDARD BRUSHED STEEL,1,WRAP JAR,1516.61,carefully final a
table,part,T,617,pink beige hot pale dim,Manufacturer#2,Brand#22,MEDIUM ANODIZED NICKEL,37,WRAP DRUM,1517.61,express requests use
table,part,T,618,honeydew red almond cream dim,Manufacturer#2,Brand#22,PROMO BRUSHED BRASS,9,LG BOX,1518.61,accounts nag careful
table,part,T,619,ivory maroon dim lavender tomato,Manufacturer#3,Brand#34,LARGE ANODIZED STEEL,46,MED JAR,1519.61,furio
table,part,T,620,chartreuse coral beige saddle plum,Manufacturer#3,Brand#35,MEDIUM BRUSHED COPPER,4,LG PKG,1520.62,deposits will have to 
table,part,T,621,almond coral dim frosted midnight,Manufacturer#5,Brand#53,PROMO PLATED TIN,47,JUMBO DRUM,1521.62,blithely 
table,part,T,622,peru cyan black blush misty,Manufacturer#5,Brand#51,LARGE POLISHED STEEL,19,WRAP BAG,1522.62,blith
table,part,T,623,chiffon bisque plum deep blanched,Manufacturer#3,Brand#32,ECONOMY POLISHED NICKEL,8,MED BOX,1523.62,final, ironi
table,part,T,624,burlywood ghost puff bisque firebrick,Manufacturer#1,Brand#12,LARGE BURNISHED NICKEL,29,SM BAG,1524.62,regular re
table,part,T,625,pale khaki cornflower sienna lime,Manufacturer#3,Brand#35,SMALL PLATED COPPER,38,LG JAR,1525.62,fluffily 
table,part,T,626,khaki indian coral drab pink,Manufacturer#1,Brand#12,SMALL ANODIZED COPPER,23,SM JAR,1526.62,quickly bold pinto bea
table,part,T,627,rosy forest spring lawn papaya,Manufacturer#4,Brand#44,PROMO ANODIZED NICKEL,13,SM BAG,1527.62,even asymptotes a
table,part,T,628,salmon midnight honeydew lawn hot,Manufacturer#3,Brand#33,ECONOMY BRUSHED BRASS,40,LG BOX,1528.62,regular
table,part,T,629,powder ivory chiffon grey plum,Manufacturer#5,Brand#51,MEDIUM POLISHED COPPER,25,WRAP BOX,1529.62,even, bold
table,part,T,630,red smoke lemon aquamarine linen,Manufacturer#2,Brand#25,MEDIUM PLATED NICKEL,20,LG DRUM,1530.63,furiously final asymp
table,part,T,631,moccasin lawn cornflower olive gainsboro,Manufacturer#2,Brand#22,STANDARD ANODIZED NICKEL,34,WRAP BAG,1531.63,blith
table,part,T,632,navy forest tan thistle brown,Manufacturer#3,Brand#34,PROMO PLATED NICKEL,2,MED PACK,1532.63,blithely unusual d
table,part,T,633,thistle tan peru peach metallic,Manufacturer#3,Brand#33,ECONOMY POLISHED NICKEL,24,MED PKG,1533.63,idly s
table,part,T,634,floral seashell burlywood green chiffon,Manufacturer#3,Brand#35,SMALL ANODIZED NICKEL,34,MED DRUM,1534.63,furiously sp
table,part,T,635,ghost antique frosted cyan pale,Manufacturer#5,Brand#51,PROMO POLISHED STEEL,49,WRAP JAR,1535.63,expres
table,part,T,636,light peru chiffon turquoise papaya,Manufacturer#5,Brand#55,PROMO BRUSHED STEEL,36,SM PACK,1536.63,slyly unusual somas wa
table,part,T,637,brown papaya sandy coral antique,Manufacturer#5,Brand#51,LARGE BURNISHED NICKEL,48,JUMBO CASE,1537.63,carefully exp
table,part,T,638,chartreuse royal peru dark antique,Manufacturer#5,Brand#54,SMALL PLATED TIN,37,JUMBO PACK,1538.63,quick
table,part,T,639,moccasin indian rosy chiffon magenta,Manufacturer#2,Brand#25,STANDARD POLISHED BRASS,33,SM BAG,1539.63,furious
table,part,T,640,chartreuse blush azure pale spring,Manufacturer#1,Brand#12,MEDIUM BRUSHED TIN,20,WRAP CASE,1540.64,quickly express i
table,part,T,641,lemon goldenrod burlywood orchid firebrick,Manufacturer#5,Brand#55,MEDIUM PLATED COPPER,18,SM JAR,1541.64,blithely idle ac
table,part,T,642,moccasin ghost magenta coral beige,Manufacturer#4,Brand#43,ECONOMY BRUSHED BRASS,12,MED PACK,1542.64,carefully final pac
table,part,T,643,beige navy dim green forest,Manufacturer#3,Brand#32,MEDIUM POLISHED STEEL,8,MED DRUM,1543.64,furiously regular requ
table,part,T,644,medium azure chocolate blanched mint,Manufacturer#5,Brand#52,LARGE PLATED STEEL,34,SM PACK,1544.64,furiously careful gro
table,part,T,645,thistle sky blanched indian lawn,Manufacturer#4,Brand#45,MEDIUM BURNISHED NICKEL,45,LG CASE,1545.64,sometimes bol
table,part,T,646,medium ivory green hot white,Manufacturer#5,Brand#52,SMALL POLISHED COPPER,21,LG PACK,1546.64,slyly silent 
table,part,T,647,bisque violet dim lawn drab,Manufacturer#3,Brand#35,LARGE BURNISHED STEEL,38,MED PKG,1547.64,quickly spec
table,part,T,648,grey lace dodger papaya smoke,Manufacturer#3,Brand#34,SMALL BRUSHED STEEL,2,WRAP JAR,1548.64,theodol
table,part,T,649,lavender yellow seashell blue sienna,Manufacturer#1,Brand#12,STANDARD BURNISHED TIN,33,JUMBO DRUM,1549.64,even, i
table,part,T,650,bisque forest cornsilk magenta seashell,Manufacturer#5,Brand#53,PROMO ANODIZED NICKEL,40,MED JAR,1550.65,furious
table,part,T,651,cornsilk firebrick deep medium drab,Manufacturer#5,Brand#52,MEDIUM POLISHED BRASS,4,WRAP BAG,1551.65,even req
table,part,T,652,ivory ghost hot yellow maroon,Manufacturer#1,Brand#12,LARGE BRUSHED TIN,39,WRAP PKG,1552.65,platelets
table,part,T,653,lime blue blush coral lace,Manufacturer#1,Brand#15,ECONOMY BURNISHED BRASS,28,JUMBO DRUM,1553.65,carefully u
table,part,T,654,cyan burlywood beige olive navajo,Manufacturer#2,Brand#23,PROMO PLATED COPPER,2,WRAP BAG,1554.65,slyly ironi
table,part,T,655,tomato linen almond rosy olive,Manufacturer#1,Brand#12,STANDARD BURNISHED TIN,23,JUMBO CAN,1555.65,regular pinto beans c
table,part,T,656,black deep lace coral magenta,Manufacturer#1,Brand#15,STANDARD BURNISHED COPPER,17,MED CASE,1556.65,quickly s
table,part,T,657,saddle metallic purple cornsilk hot,Manufacturer#3,Brand#31,ECONOMY BURNISHED COPPER,36,LG PACK,1557.65,specia
table,part,T,658,dodger rosy tomato honeydew saddle,Manufacturer#1,Brand#15,MEDIUM PLATED COPPER,27,SM JAR,1558.65,caref
table,part,T,659,ivory green pink orange chartreuse,Manufacturer#3,Brand#34,MEDIUM BRUSHED BRASS,20,LG JAR,1559.65,even, 
table,part,T,660,lime peach thistle royal pink,Manufacturer#5,Brand#51,STANDARD POLISHED TIN,8,SM CAN,1560.66,slyly regular 
table,part,T,661,midnight drab ivory purple lawn,Manufacturer#3,Brand#32,PROMO PLATED STEEL,35,SM PKG,1561.66,bold, even excuse
table,part,T,662,puff brown orchid turquoise hot,Manufacturer#4,Brand#45,STANDARD PLATED STEEL,35,LG PACK,1562.66,carefully even asympt
table,part,T,663,ivory olive orchid cream honeydew,Manufacturer#4,Brand#41,PROMO POLISHED COPPER,6,WRAP PACK,1563.66,blithely pendi
table,part,T,664,frosted honeydew dodger antique sandy,Manufacturer#4,Brand#43,MEDIUM BURNISHED TIN,26,LG BAG,1564.66,pending deposits wake 
table,part,T,665,turquoise olive maroon cyan deep,Manufacturer#1,Brand#13,MEDIUM POLISHED STEEL,14,MED DRUM,1565.66,dugou
table,part,T,666,firebrick deep orange cyan bisque,Manufacturer#1,Brand#13,ECONOMY BURNISHED NICKEL,20,MED PACK,1566.66,carefully ironic
table,part,T,667,wheat cream green metallic navajo,Manufacturer#4,Brand#43,MEDIUM PLATED STEEL,42,MED JAR,1567.66,carefull
table,part,T,668,blue antique deep dark thistle,Manufacturer#2,Brand#22,SMALL ANODIZED NICKEL,10,LG PACK,1568.66,special accounts boos
table,part,T,669,khaki almond orange smoke green,Manufacturer#1,Brand#11,STANDARD BRUSHED TIN,37,MED BAG,1569.66,excuses ca
table,part,T,670,medium frosted rose magenta chocolate,Manufacturer#1,Brand#12,ECONOMY PLATED COPPER,24,LG DRUM,1570.67,slyly special accoun
table,part,T,671,dodger metallic deep slate burlywood,Manufacturer#5,Brand#53,SMALL PLATED STEEL,31,JUMBO BOX,1571.67,alway
table,part,T,672,lawn honeydew seashell navajo blush,Manufacturer#2,Brand#23,PROMO BURNISHED STEEL,13,LG PACK,1572.67,expre
table,part,T,673,orchid aquamarine salmon yellow burlywood,Manufacturer#2,Brand#23,MEDIUM ANODIZED COPPER,26,SM DRUM,1573.67,quickl
table,part,T,674,grey snow seashell ghost orange,Manufacturer#3,Brand#35,SMALL BRUSHED TIN,5,LG PKG,1574.67,carefully
table,part,T,675,olive honeydew goldenrod violet sienna,Manufacturer#1,Brand#11,LARGE BRUSHED COPPER,2,SM CAN,1575.67,slyly final ideas
table,part,T,676,moccasin lace blush forest lavender,Manufacturer#1,Brand#11,MEDIUM ANODIZED BRASS,45,SM CAN,1576.67,bold ideas wak
table,part,T,677,plum turquoise blanched cornsilk coral,Manufacturer#4,Brand#44,PROMO ANODIZED BRASS,6,WRAP BAG,1577.67,fluffily regul
table,part,T,678,salmon lime floral dark spring,Manufacturer#4,Brand#44,PROMO BRUSHED TIN,15,SM BAG,1578.67,furiousl
table,part,T,679,purple black linen medium honeydew,Manufacturer#4,Brand#41,SMALL BURNISHED TIN,50,MED BOX,1579.67,unusual requests boost
table,part,T,680,burnished gainsboro burlywood tomato yellow,Manufacturer#1,Brand#14,SMALL PLATED COPPER,44,LG PACK,1580.68,even, 
table,part,T,681,chartreuse slate khaki rose brown,Manufacturer#3,Brand#32,ECONOMY PLATED COPPER,9,WRAP CAN,1581.68,unusua
table,part,T,682,blush khaki goldenrod antique smoke,Manufacturer#5,Brand#53,LARGE POLISHED NICKEL,48,SM BOX,1582.68,final, regular
table,part,T,683,sienna lemon burnished blanched deep,Manufacturer#5,Brand#53,LARGE BURNISHED NICKEL,1,MED PACK,1583.68,bold, bo
table,part,T,684,metallic aquamarine honeydew hot lawn,Manufacturer#3,Brand#33,PROMO BURNISHED TIN,6,WRAP BOX,1584.68,furiou
table,part,T,685,spring goldenrod plum royal tomato,Manufacturer#3,Brand#31,SMALL PLATED COPPER,36,LG JAR,1585.68,ironic package
table,part,T,686,goldenrod turquoise coral cornflower peru,Manufacturer#5,Brand#54,STANDARD BRUSHED COPPER,15,WRAP BAG,1586.68,ironic deposits aff
table,part,T,687,gainsboro cornflower dodger smoke medium,Manufacturer#5,Brand#51,LARGE POLISHED NICKEL,47,JUMBO BOX,1587.68,slyly iron
table,part,T,688,hot ivory moccasin almond pale,Manufacturer#4,Brand#45,PROMO BRUSHED COPPER,38,JUMBO CAN,1588.68,slyly
table,part,T,689,bisque khaki powder deep ghost,Manufacturer#4,Brand#43,LARGE PLATED COPPER,22,SM PACK,1589.68,furiously silent pac
table,part,T,690,burlywood dodger saddle cornsilk tan,Manufacturer#3,Brand#32,SMALL PLATED BRASS,31,WRAP PACK,1590.69,finally even 
table,part,T,691,burnished deep black cream blanched,Manufacturer#3,Brand#35,PROMO BURNISHED BRASS,3,SM JAR,1591.69,unusual
table,part,T,692,almond azure floral blush sienna,Manufacturer#1,Brand#14,MEDIUM BRUSHED BRASS,20,SM DRUM,1592.69,even foxes
table,part,T,693,honeydew aquamarine forest chocolate almond,Manufacturer#5,Brand#54,SMALL PLATED TIN,14,WRAP CASE,1593.69,slyly express ide
table,part,T,694,cream metallic turquoise dim peach,Manufacturer#3,Brand#35,ECONOMY PLATED STEEL,35,JUMBO CASE,1594.69,slyly even waters slee
table,part,T,695,deep peru brown khaki steel,Manufacturer#2,Brand#23,PROMO ANODIZED COPPER,19,MED DRUM,1595.69,packag
table,part,T,696,light smoke cornflower deep brown,Manufacturer#3,Brand#33,MEDIUM ANODIZED BRASS,3,LG CAN,1596.69,blithely 
table,part,T,697,dark mint metallic firebrick khaki,Manufacturer#4,Brand#41,LARGE PLATED TIN,8,MED CAN,1597.69,deposits 
table,part,T,698,saddle sienna red lawn burlywood,Manufacturer#4,Brand#42,ECONOMY ANODIZED COPPER,44,LG PACK,1598.69,never regular deposits
table,part,T,699,plum dim brown lime midnight,Manufacturer#1,Brand#11,MEDIUM PLATED STEEL,5,WRAP CAN,1599.69,final f
table,part,T,700,lace burnished pink spring orange,Manufacturer#3,Brand#34,PROMO BRUSHED STEEL,31,SM JAR,1600.70,final, ironic p
table,part,T,701,frosted lace beige cyan forest,Manufacturer#4,Brand#43,MEDIUM ANODIZED COPPER,36,WRAP DRUM,1601.70,pending, final re
table,part,T,702,lawn beige deep green dim,Manufacturer#4,Brand#41,STANDARD BURNISHED BRASS,26,SM CAN,1602.70,courts after 
table,part,T,703,maroon blush turquoise rose cornsilk,Manufacturer#3,Brand#32,ECONOMY POLISHED TIN,20,WRAP CASE,1603.70,final pinto b
table,part,T,704,salmon violet honeydew ivory almond,Manufacturer#3,Brand#34,LARGE ANODIZED BRASS,23,MED CAN,1604.70,deposi
